 8.750,68.176,-2.719
 8.775,68.082,-2.706
 8.800,67.975,-2.693
 8.825,68.083,-2.680
 8.850,68.154,-2.666
 8.875,68.220,-2.653
 8.900,68.372,-2.640
 8.925,68.194,-2.627
 8.950,68.171,-2.613
 8.975,68.090,-2.600
 9.000,68.157,-2.588
 9.025,68.151,-2.574
 9.050,68.091,-2.560
 9.075,68.159,-2.547
 9.100,68.173,-2.533
 9.125,67.982,-2.520
 9.150,68.040,-2.507
 9.175,68.375,-2.493
 9.200,68.064,-2.480
 9.225,68.012,-2.467
 9.250,68.132,-2.454
 9.275,68.270,-2.440
 9.300,68.017,-2.427
 9.325,68.245,-2.414
 9.350,68.007,-2.401
 9.375,68.054,-2.388
 9.400,68.049,-2.374
 9.425,67.852,-2.361
 9.450,68.218,-2.348
 9.475,68.067,-2.335
 9.500,68.131,-2.321
 9.525,68.037,-2.308
 9.550,68.001,-2.294
 9.575,67.963,-2.281
 9.600,67.818,-2.268
 9.625,68.110,-2.254
 9.650,68.530,-2.241
 9.675,67.848,-2.228
 9.700,68.086,-2.214
 9.725,67.684,-2.201
 9.750,67.503,-2.188
 9.775,67.345,-2.175
 9.800,67.474,-2.161
 9.825,67.957,-2.148
 9.850,68.686,-2.135
 9.875,69.008,-0.898
 9.900,68.702,-0.885
 9.925,68.698,-0.872
 9.950,68.626,-0.859
 9.975,68.510,-0.846
10.000,68.197,-0.833
10.025,68.509,-0.821
10.050,69.031,-0.808
10.075,69.213,-0.794
10.100,69.021,-0.780
10.125,69.127,-0.767
10.150,69.277,-0.754
10.175,69.002,-0.741
10.200,69.094,-0.727
10.225,69.261,-0.713
10.250,68.969,-0.700
10.275,69.230,-0.687
10.300,69.255,-0.674
10.325,69.114,-0.661
10.350,69.297,-0.648
10.375,69.341,-0.635
10.400,69.583,-0.622
10.425,69.450,-0.608
10.450,69.305,-0.595
10.475,69.514,-0.582
10.500,69.451,-0.568
10.525,69.450,-0.555
10.550,69.434,-0.542
10.575,69.272,-0.529
10.600,69.268,-0.516
10.625,69.425,-0.502
10.650,69.409,-0.489
10.675,69.118,-0.476
10.700,69.276,-0.463
10.725,69.155,-0.450
10.750,69.324,-0.437
10.775,69.099,-0.423
10.800,68.992,-0.410
10.825,69.015,-0.397
10.850,69.250,-0.384
10.875,69.280,-0.371
10.900,68.926,-0.357
